,logTL,sem,,logTL,
Aetiocetus_cotylalveus,2.439332694,0.06811079,1,2.269825221,186.1337904
Aetiocetus_polydentatus,2.414454663,0.06811079,2,2.367394342,233.0206141
Aetiocetus_weltoni,2.443006158,0.06811079,3,2.377260299,238.3747766
Aglaocetus_moreni,2.785329835,0.06811079,4,2.414454663,259.6896631
Aglaocetus_patulus,2.891548505,0.06811079,5,2.439332694,275
Archaebalaenoptera_castriarquati,2.917006217,0.06811079,6,2.443006158,277.3359429
Balaena_montalionis,2.68768548,0.06811079,7,2.443006158,277.3359429
Balaena_mysticetus,3.186932,0.00963232,8,2.489760192,308.858951
Balaena_ricei,3.029940902,0.06811079,9,2.498248695,314.955136
Balaenella_brachyrhynus,2.848442788,0.06811079,10,2.509202522,323
Balaenoptera_acutorostrata,2.830164136,0.022703597,11,2.512393568,325.3820324
Balaenoptera_bertae,2.806314901,0.06811079,12,2.518142601,329.7179575
Balaenoptera_bonaerensis,2.969883206,0.030460071,13,2.524933998,334.9145367
Balaenoptera_borealis,3.149044285,0.048161602,14,2.551000909,355.6320628
Balaenoptera_brydei,3.089748525,0.01758613,15,2.566469328,368.5270138
Balaenoptera_edeni,3.038993612,0.030460071,16,2.585240314,384.8046521
Balaenoptera_musculus,3.379653841,0.030460071,17,2.598528268,396.7603526
Balaenoptera_omurai,3.018363051,0.024080801,18,2.603168865,401.022615
Balaenoptera_physalus,3.24482357,0.030460071,19,2.605010116,402.7264153
Balaenoptera_portisi,2.886256362,0.06811079,20,2.605010116,402.7264153
Balaenoptera_siberi,2.880813592,0.06811079,21,2.627337205,423.9720286
Balaenula_astensis,2.840951772,0.06811079,22,2.627337205,423.9720286
Brandtocetus_chongulek,2.652580394,0.06811079,23,2.641043951,437.5663849
Caperea_marginata,2.731966,0.019661892,24,2.642673665,439.2114616
Cephalotropis_coronatus,2.676792333,0.06811079,25,2.644341938,440.9018672
Cetotherium_megalophysum,2.736062651,0.06811079,26,2.652580394,449.3454967
Cetotherium_rathkii,2.498248695,0.06811079,27,2.655828793,452.7190744
Cetotherium_riabinini,2.489760192,0.06811079,28,2.657443142,454.4050424
Chonecetus_goedertorum,2.367394342,0.06811079,29,2.660652404,457.7753507
Chonecetus_sookensis,2.269825221,0.06811079,30,2.676792333,475.1079882
Diorocetus_chichibuensis,2.598528268,0.06811079,31,2.68768548,487.1755448
Diorocetus_hiatus,2.738780559,0.06811079,32,2.705932985,508.0810354
Diorocetus_shobarensis,2.660652404,0.06811079,33,2.726783851,533.0695196
Diunatans_luctoretemergo,2.886256362,0.06811079,34,2.731966,539.468387
Eomysticetus_whitmorei,2.644341938,0.06811079,35,2.736062651,544.5812077
Eschrichtioides_gastaldii,2.976477625,0.06811079,36,2.738780559,548
Eschrichtius_robustus,3.060960636,0.016519293,37,2.744014255,554.6439182
Eubalaena_australis,3.14145,0.009021495,38,2.749736316,562
Eubalaena_belgica,2.953270672,0.06811079,39,2.777588819,599.2234746
