"","time.end"
"1",63
"2",10
"3",13
"4",15
"5",75
"6",79
"7",73
"8",18
"9",22
"10",39
"11",16
"12",151
"13",30
"14",45
"15",25
"16",23
"17",47
"18",40
"19",60
"20",29
"21",192
"22",129
"23",36
"24",80
"25",62
"26",97
"27",90
"28",50
"29",65
"30",94
"31",57
"32",83
"33",77
"34",59
"35",66
"36",58
"37",64
"38",71
"39",56
"40",113
"41",72
"42",74
"43",70
"44",78
"45",133
"46",104
"47",309
"48",147
"49",91
"50",172
"51",98
"52",131
"53",120
"54",130
"55",101
"56",243
"57",309
"58",260
"59",162
"60",179
"61",127
"62",157
"63",288
"64",171
"65",251
"66",132
"67",156
"68",309
"69",286
"70",140
"71",134
"72",145
"73",135
"74",142
"75",159
"76",125
"77",128
"78",237
"79",138
"80",238
"81",160
"82",266
"83",152
"84",150
"85",272
"86",234
"87",208
"88",182
"89",168
"90",231
"91",202
"92",309
"93",284
"94",166
"95",241
"96",274
"97",169
"98",309
"99",197
"100",239
"101",309
"102",185
"103",252
"104",191
"105",181
"106",200
"107",264
"108",187
"109",282
"110",207
"111",246
"112",203
"113",292
"114",233
"115",213
"116",309
"117",267
"118",271
"119",242
"120",216
"121",218
"122",263
"123",212
"124",298
"125",270
"126",309
"127",294
"128",224
"129",225
"130",229
"131",249
"132",250
"133",309
"134",309
"135",309
"136",255
"137",303
"138",309
"139",309
"140",309
"141",309
"142",276
"143",269
"144",309
"145",265
"146",293
"147",261
"148",277
"149",273
"150",308
"151",285
"152",280
"153",309
"154",309
"155",301
"156",295
"157",309
"158",289
"159",309
"160",309
"161",309
"162",309
"163",309
"164",309
"165",309
"166",309
"167",309
"168",309
"169",309
