"","V1","V2","V3","V4"
"1",15,0,-1,-1
"2",15,-1,2,-1
"3",12.0027383502346,2,3,-1
"4",7.30636208330428,-1,-4,-1
"5",6.00416017100475,-1,-5,-1
"6",5.77966781095094,-1,-6,-1
"7",5.41406727448192,-1,-7,-1
"8",4.42560626646177,-7,-8,-1
"9",4.04558448675417,-1,-9,-1
"10",3.87657225978164,-5,-10,-1
"11",3.81714713648436,-4,-11,-1
"12",2.82331872470984,-1,-12,-1
"13",2.69260428830982,-4,-13,-1
"14",2.64627230967699,-1,-14,-1
"15",2.37768096690025,-5,-15,-1
"16",2.13893434587029,-9,-16,-1
"17",2.01887934934381,-13,-17,-1
"18",1.9175500330053,-4,-18,-1
"19",1.85304985836142,-13,-19,-1
"20",1.21279980918692,-9,-20,-1
"21",0.915460990722705,-1,-21,-1
"22",0.906206320707891,-5,-22,-1
"23",0.64072571137652,-5,-23,-1
"24",0.485366533957281,-7,-24,-1
"25",0.368677963524128,-5,-25,-1
"26",0.323637734194287,-9,-26,-1
"27",0.222490121994349,-26,-27,-1
"28",0.091060006886579,-26,-28,-1
"29",0.0531095248693383,-12,-29,-1
"30",0.0483090887661692,-13,-30,-1
